stage,comparison,metric,n,point_difference,mean,sd,minus_2sd,plus_2sd,ci_low,ci_high
overall,Player-enriched - Team-history,accuracy,128,0.0078125,0.0078984375,0.013299295120982418,-0.018700152741964834,0.034497027741964836,-0.015625,0.03125
overall,Player-enriched - Team-history,macro_f1,128,0.04815316030363187,0.04709038837086392,0.031425377381353314,-0.01576036639184271,0.10994114313357055,-0.004899538418268941,0.11324719963716676
