stage,model_key,model_name,metric,n,point_estimate,mean,sd,minus_2sd,plus_2sd,ci_low,ci_high
overall,baseline,Baseline,accuracy,128,0.65625,0.6562171875,0.04169026832041405,0.5728366508591719,0.7395977241408281,0.5703125,0.734375
overall,baseline,Baseline,macro_f1,128,0.26540284360189575,0.26512329348899794,0.010097960388803322,0.24492737271139128,0.28531921426660456,0.2442244224422442,0.2840059790732436
overall,team_history,Team-history,accuracy,128,0.6484375,0.648453125,0.04196684711678088,0.5645194307664382,0.7323868192335617,0.5625,0.7265625
overall,team_history,Team-history,macro_f1,128,0.291866028708134,0.2904384637780105,0.030921345834362558,0.22859577210928542,0.35228115544673566,0.24630541871921183,0.3605414273995078
overall,player_enriched,Player-enriched,accuracy,128,0.65625,0.6563515625,0.04192379264248703,0.572503977215026,0.7401991477849741,0.5703125,0.734375
overall,player_enriched,Player-enriched,macro_f1,128,0.34001918901176587,0.3375288521488744,0.04403281030468554,0.24946323153950334,0.42559447275824547,0.2608695652173913,0.43386570799937135
