stage,comparison,metric,n,point_difference,mean,sd,minus_2sd,plus_2sd,ci_low,ci_high
group_stage,Player-enriched - Team-history,accuracy,96,-0.01041666666666663,-0.010733333333333334,0.010572182119246152,-0.03187769757182564,0.01041103090515897,-0.03125,0.0
group_stage,Player-enriched - Team-history,macro_f1,96,-0.0023428135556282648,-0.0023909282148391587,0.004774110935091192,-0.011939150085021543,0.0071572936553432245,-0.014177437384696023,0.004898059223689477
knockout_stage,Player-enriched - Team-history,accuracy,32,0.0625,0.06220625,0.042399695697924004,-0.02259314139584801,0.147005641395848,0.0,0.15625
knockout_stage,Player-enriched - Team-history,macro_f1,32,0.19759862778730714,0.18533837169469572,0.10479545209710149,-0.024252532499507262,0.3949292758888987,0.0,0.39193798449612405
overall,Player-enriched - Team-history,accuracy,128,0.0078125,0.0076640625,0.013529027783192532,-0.019393993066385066,0.03472211806638507,-0.015625,0.0390625
overall,Player-enriched - Team-history,macro_f1,128,0.04815316030363187,0.046312863218040505,0.03137351546392553,-0.01643416770981055,0.10905989414589157,-0.004654118671212832,0.11180518068135764
