experiment,metric,player_minus_team_history,player_value,team_history_value,baseline_value
B1_validate_2018_train_through_2014,accuracy,0.03125,0.6875,0.65625,0.6875
B1_validate_2018_train_through_2014,macro_f1,0.10293181203604357,0.36708275543227,0.2641509433962264,0.2716049382716049
B2_final_2022_refit_through_2018,accuracy,-0.015625,0.609375,0.625,0.625
B2_final_2022_refit_through_2018,macro_f1,-0.001508295625942735,0.2549019607843137,0.25641025641025644,0.25641025641025644
B3_supplement_2022_no_refit_train_through_2014,accuracy,-0.015625,0.625,0.640625,0.625
B3_supplement_2022_no_refit_train_through_2014,macro_f1,-0.009048220641595828,0.3104575163398693,0.3195057369814651,0.25641025641025644
