stage,n_matches,team_history_acc,player_enriched_acc,team_history_f1,player_enriched_f1
group_stage,96,0.625,0.6145833333333334,0.28571428571428575,0.28337147215865754
knockout_stage,32,0.71875,0.78125,0.41818181818181815,0.6157804459691252
overall,128,0.6484375,0.65625,0.291866028708134,0.3400191890117659
