match_id,tournament_id,year,home_team_id,away_team_id,y_win,away_hist_draws,away_hist_et_matches,away_hist_et_rate,away_hist_frac_tournaments_reached_ko,away_hist_goal_diff_per_match,away_hist_goal_diff_sum,away_hist_ko_matches,away_hist_ko_win_rate_shrunk,away_hist_ko_wins,away_hist_losses,away_hist_n_matches,away_hist_n_tournaments,away_hist_pso_matches,away_hist_pso_win_rate_shrunk,away_hist_pso_wins,away_hist_tournaments_with_ko_game,away_hist_win_rate_shrunk,away_hist_wins,away_mgr_consecutive_wc_with_team,away_mgr_n_prior_wc,away_rest_days_since_prev_match,away_squad_age_max,away_squad_age_mean,away_squad_age_median,away_squad_age_min,away_squad_age_std,away_squad_n_df,away_squad_n_fw,away_squad_n_gk,away_squad_n_mf,away_squad_n_players,away_squad_prior_wc_mean,away_squad_prior_wc_median,away_squad_share_any_prior_wc,away_squad_share_ge2_prior_wc,away_squad_squad_jaccard_vs_prev_wc,away_squad_squad_overlap_count_vs_prev_wc,away_squad_year,feat_away_hist_win_rate_vs_home_conf,feat_away_is_host_nation,feat_away_manager_local,feat_away_mgr_hist_win_rate_shrunk,feat_hist_goal_diff_per_match_diff,feat_hist_win_rate_diff,feat_home_hist_win_rate_vs_away_conf,feat_home_is_host_nation,feat_home_manager_local,feat_home_mgr_hist_win_rate_shrunk,feat_rest_days_diff,feat_same_confederation,feat_squad_age_mean_diff,feat_squad_prior_wc_mean_diff,group_stage,home_hist_draws,home_hist_et_matches,home_hist_et_rate,home_hist_frac_tournaments_reached_ko,home_hist_goal_diff_per_match,home_hist_goal_diff_sum,home_hist_ko_matches,home_hist_ko_win_rate_shrunk,home_hist_ko_wins,home_hist_losses,home_hist_n_matches,home_hist_n_tournaments,home_hist_pso_matches,home_hist_pso_win_rate_shrunk,home_hist_pso_wins,home_hist_tournaments_with_ko_game,home_hist_win_rate_shrunk,home_hist_wins,home_mgr_consecutive_wc_with_team,home_mgr_n_prior_wc,home_rest_days_since_prev_match,home_squad_age_max,home_squad_age_mean,home_squad_age_median,home_squad_age_min,home_squad_age_std,home_squad_n_df,home_squad_n_fw,home_squad_n_gk,home_squad_n_mf,home_squad_n_players,home_squad_prior_wc_mean,home_squad_prior_wc_median,home_squad_share_any_prior_wc,home_squad_share_ge2_prior_wc,home_squad_squad_jaccard_vs_prev_wc,home_squad_squad_overlap_count_vs_prev_wc,home_squad_year,knockout_stage,n_referees,replay,replayed,stadium_capacity,stage_name,group_name,home_elo_rating,home_elo_rank,away_elo_rating,away_elo_rank,feat_elo_rating_diff,home_fifa_rank,home_fifa_points,away_fifa_rank,away_fifa_points,feat_fifa_rank_diff,feat_fifa_points_diff
M-1930-11,WC-1930,1930,T-03,T-46,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,3.0,33.57700205338809,24.702661352015134,23.529089664613277,18.236824093086927,3.688786457536245,3,8,2,4,17,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,0,1,,1.0,0,0.302503230151494,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,4.0,31.3347022587269,25.005164582166632,24.748802190280628,20.432580424366872,3.1306874160746516,5,10,2,5,22,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,90000,group stage,Group 1,2084.0,1.0,1613.0,27.0,471.0,,,,,,
M-1930-12,WC-1930,1930,T-09,T-07,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,3.0,32.30116358658453,25.167522245037645,24.07939767282683,18.321697467488026,4.104113514337008,3,6,2,6,17,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,0,1,,3.0,1,-0.3098904859685127,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,6.0,30.25325119780972,24.857631759069132,25.43874058863792,18.04791238877481,2.9024877096695048,5,11,2,6,24,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,90000,group stage,Group 2,1929.0,5.0,1258.0,61.0,671.0,,,,,,
M-1930-13,WC-1930,1930,T-55,T-06,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,7.0,38.17385352498289,25.501368925393564,24.049281314168375,19.392197125256672,4.9699728943752195,3,6,2,5,16,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,0,0,,-4.0,0,-1.054642938626511,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,3.0,29.49760438056126,24.446725986767053,24.00958247775496,19.800136892539356,3.401126771371348,4,10,2,6,22,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,90000,group stage,Group 4,1784.0,15.0,1636.0,25.0,148.0,,,,,,
M-1930-14,WC-1930,1930,T-84,T-61,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,7.0,29.67008898015058,23.365548710928586,22.362765229295004,18.55441478439425,3.117747595667083,4,6,2,3,15,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,1,1,,-4.0,0,3.330487627818222,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,3.0,31.6249144421629,26.696036338746808,25.653661875427787,22.05612594113621,2.7971231632856735,4,10,2,6,22,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,90000,group stage,Group 3,1963.0,3.0,1560.0,35.0,403.0,,,,,,
M-1930-15,WC-1930,1930,T-03,T-13,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,3.0,33.437371663244356,26.553694297345004,26.68583162217659,20.229979466119097,3.263705178807699,4,8,2,5,19,0.0,0.0,0.0,0.0,,,1930,,0,0,,,0.0,,0,1,,0.0,1,-1.548529715178372,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,3.0,31.3347022587269,25.005164582166632,24.748802190280628,20.432580424366872,3.1306874160746516,5,10,2,5,22,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,90000,group stage,Group 1,2084.0,1.0,1578.0,32.0,506.0,,,,,,
M-1930-16,WC-1930,1930,T-03,T-83,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,9.0,32.84599589322382,26.610711841204655,26.203969883641346,20.687200547570157,4.029977723903584,3,9,1,5,16,0.0,0.0,0.0,0.0,,,1930,,0,0,,,0.0,,0,1,,-5.0,0,-1.6055472590380226,0.0,0,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,4.0,31.3347022587269,25.005164582166632,24.748802190280628,20.432580424366872,3.1306874160746516,5,10,2,5,22,0.0,0.0,0.0,0.0,,,1930,1,1,0,0,90000,semi-finals,not applicable,2084.0,1.0,1673.0,21.0,411.0,,,,,,
M-1930-17,WC-1930,1930,T-84,T-87,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,10.0,30.527036276522928,22.067721544469943,21.472963723477072,18.54072553045859,2.80609012933219,4,7,2,4,17,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,1,1,,-4.0,0,4.628314794276864,0.0,0,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,6.0,31.6249144421629,26.696036338746808,25.653661875427787,22.05612594113621,2.7971231632856735,4,10,2,6,22,0.0,0.0,0.0,0.0,,,1930,1,1,0,0,90000,semi-finals,not applicable,1963.0,3.0,1608.0,28.0,355.0,,,,,,
M-1930-18,WC-1930,1930,T-84,T-03,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,4.0,31.3347022587269,25.005164582166632,24.748802190280628,20.432580424366872,3.1306874160746516,5,10,2,5,22,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,1,1,,-1.0,1,1.690871756580176,0.0,0,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,3.0,31.6249144421629,26.696036338746808,25.653661875427787,22.05612594113621,2.7971231632856735,4,10,2,6,22,0.0,0.0,0.0,0.0,,,1930,1,1,0,0,90000,final,not applicable,1963.0,3.0,2084.0,1.0,-121.0,,,,,,
M-1934-01,WC-1934,1934,T-05,T-30,1,0,0,0.0,0.0,0.3333333333333333,1.0,0,0.5,0,2,3,1,0,,0,0,0.4285714285714285,1,1,0,,29.242984257357975,24.53437869454297,25.17453798767967,19.94524298425736,2.8820400472300216,4,9,3,7,22,0.2727272727272727,0.0,0.2727272727272727,0.0,0.1875,6.0,1934,,0,0,,,0.0714285714285714,,0,1,,,1,1.6358658453114323,-0.2727272727272727,0,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,31.53730321697467,26.1702445398544,26.210814510609172,20.66803559206023,3.381512358981476,4,11,3,4,22,0.0,0.0,0.0,0.0,,,1934,1,1,0,0,28000,round of 16,not applicable,1997.0,3.0,1594.0,33.0,403.0,,,,,,
M-1934-02,WC-1934,1934,T-21,T-61,1,0,0,0.0,0.0,-1.0,-2.0,0,0.5,0,1,2,1,0,,0,0,0.5,1,2,1,,28.78850102669405,24.34932487088545,23.912388774811777,20.591375770020537,2.3086011078272306,5,9,3,5,22,0.0909090909090909,0.0,0.0909090909090909,0.0,0.0571428571428571,2.0,1934,,0,1,0.5,,0.0,,0,1,,,1,1.353369423184617,-0.0909090909090909,0,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,32.33949349760438,25.702694294070067,25.70841889117043,19.482546201232033,3.356605268038245,4,9,2,7,22,0.0,0.0,0.0,0.0,,,1934,1,1,0,0,8000,round of 16,not applicable,1836.0,10.0,1626.0,29.0,210.0,,,,,,
