match_id,tournament_id,team_id_home,team_name_home,team_code_home,goals_for_home,goals_against_home,goal_differential_home,win_home,draw_home,lose_home,extra_time_home,penalty_shootout_home,penalties_for_home,penalties_against_home,team_id_away,team_name_away,team_code_away,goals_for_away,goals_against_away,goal_differential_away,win_away,draw_away,lose_away,extra_time_away,penalty_shootout_away,penalties_for_away,penalties_against_away,year,stage_name,group_name,group_stage,knockout_stage,match_date,result_home
M-2015-23,WC-2015,T-28,England,ENG,2,1,1,1,0,0,0,0,0,0,T-46,Mexico,MEX,1,2,-1,0,0,1,0,0,0,0,2015,group stage,Group F,1,0,2015-06-13,W
M-2015-24,WC-2015,T-71,South Korea,KOR,2,2,0,0,1,0,0,0,0,0,T-17,Costa Rica,CRI,2,2,0,0,1,0,0,0,0,0,2015,group stage,Group E,1,0,2015-06-13,D
M-2015-25,WC-2015,T-76,Thailand,THA,0,4,-4,0,0,1,0,0,0,0,T-31,Germany,DEU,4,0,4,1,0,0,0,0,0,0,2015,group stage,Group B,1,0,2015-06-15,L
M-2015-26,WC-2015,T-42,Ivory Coast,CIV,1,3,-2,0,0,1,0,0,0,0,T-53,Norway,NOR,3,1,2,1,0,0,0,0,0,0,2015,group stage,Group B,1,0,2015-06-15,L
M-2015-27,WC-2015,T-14,China,CHN,2,2,0,0,1,0,0,0,0,0,T-49,New Zealand,NZL,2,2,0,0,1,0,0,0,0,0,2015,group stage,Group A,1,0,2015-06-15,D
M-2015-28,WC-2015,T-48,Netherlands,NLD,1,1,0,0,1,0,0,0,0,0,T-12,Canada,CAN,1,1,0,0,1,0,0,0,0,0,2015,group stage,Group A,1,0,2015-06-15,D
M-2015-29,WC-2015,T-75,Switzerland,CHE,1,2,-1,0,0,1,0,0,0,0,T-11,Cameroon,CMR,2,1,1,1,0,0,0,0,0,0,2015,group stage,Group C,1,0,2015-06-16,L
M-2015-30,WC-2015,T-25,Ecuador,ECU,0,1,-1,0,0,1,0,0,0,0,T-44,Japan,JPN,1,0,1,1,0,0,0,0,0,0,2015,group stage,Group C,1,0,2015-06-16,L
M-2015-31,WC-2015,T-50,Nigeria,NGA,0,1,-1,0,0,1,0,0,0,0,T-83,United States,USA,1,0,1,1,0,0,0,0,0,0,2015,group stage,Group D,1,0,2015-06-16,L
M-2015-32,WC-2015,T-04,Australia,AUS,1,1,0,0,1,0,0,0,0,0,T-74,Sweden,SWE,1,1,0,0,1,0,0,0,0,0,2015,group stage,Group D,1,0,2015-06-16,D
M-2015-33,WC-2015,T-28,England,ENG,2,1,1,1,0,0,0,0,0,0,T-16,Colombia,COL,1,2,-1,0,0,1,0,0,0,0,2015,group stage,Group F,1,0,2015-06-17,W
M-2015-34,WC-2015,T-46,Mexico,MEX,0,5,-5,0,0,1,0,0,0,0,T-30,France,FRA,5,0,5,1,0,0,0,0,0,0,2015,group stage,Group F,1,0,2015-06-17,L
M-2015-35,WC-2015,T-71,South Korea,KOR,2,1,1,1,0,0,0,0,0,0,T-73,Spain,ESP,1,2,-1,0,0,1,0,0,0,0,2015,group stage,Group E,1,0,2015-06-17,W
M-2015-36,WC-2015,T-17,Costa Rica,CRI,0,1,-1,0,0,1,0,0,0,0,T-09,Brazil,BRA,1,0,1,1,0,0,0,0,0,0,2015,group stage,Group E,1,0,2015-06-17,L
M-2015-37,WC-2015,T-31,Germany,DEU,4,1,3,1,0,0,0,0,0,0,T-74,Sweden,SWE,1,4,-3,0,0,1,0,0,0,0,2015,round of 16,not applicable,0,1,2015-06-20,W
M-2015-38,WC-2015,T-14,China,CHN,1,0,1,1,0,0,0,0,0,0,T-11,Cameroon,CMR,0,1,-1,0,0,1,0,0,0,0,2015,round of 16,not applicable,0,1,2015-06-20,W
M-2015-39,WC-2015,T-09,Brazil,BRA,0,1,-1,0,0,1,0,0,0,0,T-04,Australia,AUS,1,0,1,1,0,0,0,0,0,0,2015,round of 16,not applicable,0,1,2015-06-21,L
M-2015-40,WC-2015,T-30,France,FRA,3,0,3,1,0,0,0,0,0,0,T-71,South Korea,KOR,0,3,-3,0,0,1,0,0,0,0,2015,round of 16,not applicable,0,1,2015-06-21,W
M-2015-41,WC-2015,T-12,Canada,CAN,1,0,1,1,0,0,0,0,0,0,T-75,Switzerland,CHE,0,1,-1,0,0,1,0,0,0,0,2015,round of 16,not applicable,0,1,2015-06-21,W
M-2015-42,WC-2015,T-53,Norway,NOR,1,2,-1,0,0,1,0,0,0,0,T-28,England,ENG,2,1,1,1,0,0,0,0,0,0,2015,round of 16,not applicable,0,1,2015-06-22,L
M-2015-43,WC-2015,T-83,United States,USA,2,0,2,1,0,0,0,0,0,0,T-16,Colombia,COL,0,2,-2,0,0,1,0,0,0,0,2015,round of 16,not applicable,0,1,2015-06-22,W
M-2015-44,WC-2015,T-44,Japan,JPN,2,1,1,1,0,0,0,0,0,0,T-48,Netherlands,NLD,1,2,-1,0,0,1,0,0,0,0,2015,round of 16,not applicable,0,1,2015-06-23,W
M-2015-45,WC-2015,T-31,Germany,DEU,1,1,0,1,0,0,1,1,5,4,T-30,France,FRA,1,1,0,0,0,1,1,1,4,5,2015,quarter-final,not applicable,0,1,2015-06-26,W
M-2015-46,WC-2015,T-14,China,CHN,0,1,-1,0,0,1,0,0,0,0,T-83,United States,USA,1,0,1,1,0,0,0,0,0,0,2015,quarter-final,not applicable,0,1,2015-06-26,L
M-2015-47,WC-2015,T-04,Australia,AUS,0,1,-1,0,0,1,0,0,0,0,T-44,Japan,JPN,1,0,1,1,0,0,0,0,0,0,2015,quarter-final,not applicable,0,1,2015-06-27,L
M-2015-48,WC-2015,T-28,England,ENG,2,1,1,1,0,0,0,0,0,0,T-12,Canada,CAN,1,2,-1,0,0,1,0,0,0,0,2015,quarter-final,not applicable,0,1,2015-06-27,W
M-2015-49,WC-2015,T-83,United States,USA,2,0,2,1,0,0,0,0,0,0,T-31,Germany,DEU,0,2,-2,0,0,1,0,0,0,0,2015,semi-final,not applicable,0,1,2015-06-30,W
M-2015-50,WC-2015,T-44,Japan,JPN,2,1,1,1,0,0,0,0,0,0,T-28,England,ENG,1,2,-1,0,0,1,0,0,0,0,2015,semi-final,not applicable,0,1,2015-07-01,W
M-2015-51,WC-2015,T-31,Germany,DEU,0,1,-1,0,0,1,1,0,0,0,T-28,England,ENG,1,0,1,1,0,0,1,0,0,0,2015,third-place match,not applicable,0,1,2015-07-04,L
M-2015-52,WC-2015,T-83,United States,USA,5,2,3,1,0,0,0,0,0,0,T-44,Japan,JPN,2,5,-3,0,0,1,0,0,0,0,2015,final,not applicable,0,1,2015-07-05,W
M-2018-01,WC-2018,T-62,Russia,RUS,5,0,5,1,0,0,0,0,0,0,T-63,Saudi Arabia,SAU,0,5,-5,0,0,1,0,0,0,0,2018,group stage,Group A,1,0,2018-06-14,W
M-2018-02,WC-2018,T-26,Egypt,EGY,0,1,-1,0,0,1,0,0,0,0,T-84,Uruguay,URY,1,0,1,1,0,0,0,0,0,0,2018,group stage,Group A,1,0,2018-06-15,L
M-2018-03,WC-2018,T-47,Morocco,MAR,0,1,-1,0,0,1,0,0,0,0,T-38,Iran,IRN,1,0,1,1,0,0,0,0,0,0,2018,group stage,Group B,1,0,2018-06-15,L
