stage,metric,n,player_enriched_point,team_history_point,diff_point,diff_ci_low,diff_ci_high
group_stage,accuracy,96,0.6458333333333334,0.625,0.02083333333333337,-0.02083333333333337,0.0625
group_stage,macro_f1,96,0.26160337552742613,0.28571428571428575,-0.024110910186859624,-0.09099780385395347,0.01519468186134848
knockout_stage,accuracy,32,0.71875,0.71875,0.0,0.0,0.0
knockout_stage,macro_f1,32,0.41818181818181815,0.41818181818181815,0.0,0.0,0.0
overall,accuracy,128,0.6640625,0.6484375,0.015625,-0.015625,0.046875
overall,macro_f1,128,0.26604068857589985,0.291866028708134,-0.025825340132234142,-0.08951562532840306,0.011078414401938741
