model_key,06_algorithm,06_cv_acc,06_holdout_acc,06_holdout_f1,10_algorithm,10_cv_acc,10_holdout_acc,10_holdout_f1,delta_acc,delta_f1
baseline,RandomForestClassifier,0.6822916666666666,0.65625,0.2654028436018957,XGBClassifier,0.6822916666666666,0.6171875,0.3022419627749577,-0.0390625,0.036839119173061985
team_history,RandomForestClassifier,0.6625,0.6484375,0.291866028708134,XGBClassifier,0.659375,0.6015625,0.3690858161446397,-0.046875,0.0772197874365057
player_enriched,XGBClassifier,0.6822916666666666,0.65625,0.3400191890117659,XGBClassifier,0.6822916666666666,0.65625,0.3400191890117659,0.0,0.0
