stage,metric,n,player_enriched_point,team_history_point,diff_point,diff_ci_low,diff_ci_high
group_stage,accuracy,96,0.6145833333333334,0.5416666666666666,0.07291666666666674,0.01041666666666663,0.14583333333333331
group_stage,macro_f1,96,0.28337147215865754,0.29901960784313725,-0.015648135684479703,-0.08232531368406232,0.04350816239957943
knockout_stage,accuracy,32,0.78125,0.78125,0.0,-0.09375,0.09375
knockout_stage,macro_f1,32,0.6157804459691252,0.6621417797888387,-0.046361333819713524,-0.22344322344322354,0.07557877745210484
overall,accuracy,128,0.65625,0.6015625,0.0546875,0.0,0.109375
overall,macro_f1,128,0.3400191890117659,0.3690858161446397,-0.02906662713287378,-0.10361004304380539,0.03575460733658721
